31,0.47777778,0.29169728,0.62681159,0.15992695,0.32208437,0.50434153,0.26827632,0.16084512,0.36405655,0.04691817,0.03142836,0.38428294,0.16302368,0.20644391,0.29035385,0.22938351,0.27465536,0.70646067,0.49747475,0.52643172,0.46526868,0.07506757,0.43013324,0.44365256,0.56395957,0.41861199,0.64425982,0.00000000
32,0.29553265,0.38099808,0.49147727,0.12191726,0.48870482,0.44282084,0.22766079,0.17298882,0.10009718,0.05467154,0.13974125,0.52563639,0.04483968,0.06301220,0.02955106,0.10292797,0.30687204,0.74739970,0.59159159,0.44341373,0.44209215,0.10515788,0.30337349,0.40869922,0.38259636,0.35124404,0.26045802,0.13378629
33,0.17879418,0.19595262,0.13211149,0.27587759,0.09221370,0.22091918,0.14378145,0.16654905,0.06923475,0.11272820,0.02802821,0.20955175,0.06355406,0.07981546,0.00000000,0.06428091,0.09671397,0.19002645,0.17868481,0.16034888,0.09522532,0.08612720,0.41952682,0.46760563,0.23240448,0.24683780,0.55897772,0.13165303
34,0.24431818,0.59253731,0.23441734,0.69897377,0.53284072,0.40429234,0.41025641,0.10772566,0.48868613,0.53612629,0.11690835,0.70127153,0.28034456,0.04653665,0.03636474,0.06339197,0.15997529,0.43549784,0.25224072,0.31634679,0.19910264,0.51995761,0.56635178,0.62759924,0.86849168,0.66416416,0.51933029,0.16662028
35,0.48587571,0.34581882,0.22584856,0.17089490,0.38131610,0.50071839,0.29873040,0.05848460,0.32265060,0.07705733,0.07380316,0.38953956,0.04648747,0.08952135,0.08368259,0.07970511,0.15444246,0.20932168,0.20660724,0.08540289,0.39356984,0.24048358,0.41143791,0.50000000,0.42124447,0.31475332,0.29530898,0.00000000
36,0.24855491,0.34702797,0.31255646,0.35169248,0.42529489,0.42191283,0.26595745,0.03350131,0.13379297,0.09171167,0.21189638,0.82503314,0.12535014,0.09036302,0.21500359,0.14484328,0.33767927,0.15141481,0.48581998,0.05116130,0.05157635,0.05658274,0.23844697,0.31105559,0.22635702,0.33731571,0.21394532,0.00000000
37,0.64179104,0.49501247,0.18200947,0.33369624,0.08640660,0.34016593,0.36730946,0.08500675,0.22633536,0.16579046,0.00000000,0.30106412,0.24757953,0.11780729,0.03848131,0.11061776,0.25900000,0.69958275,0.63040000,0.23935904,0.33681214,0.25511265,0.32940869,0.42857143,0.30254301,0.38088404,0.31302752,0.00000000
38,0.36286920,0.35070671,0.61896243,0.50871369,0.15357312,0.47805213,0.16083635,0.18347911,0.42944195,0.13609741,0.05143311,0.60237799,0.14824017,0.12383679,0.02154599,0.04284432,0.26783868,0.05063419,0.37240076,0.22859876,0.09469192,0.27193793,0.37436812,0.23125145,0.24774154,0.20551340,0.18823789,0.79096195
39,0.66153846,0.57122302,0.45287958,0.27052074,0.40385812,0.34453782,0.16764459,0.09000763,0.09574544,0.02828043,0.14573603,0.30852570,0.02096633,0.05499921,0.09026522,0.08737420,0.27320675,0.66010499,0.06045727,0.24202532,0.04142357,0.31279218,0.24347322,0.47609943,0.32122295,0.25123059,0.42092277,0.16923947
40,0.45026178,0.32093775,0.86934673,0.51817413,0.36460674,0.38423374,0.37105751,0.13586644,0.42889174,0.15063118,0.06831820,0.22769794,0.15989281,0.03764143,0.01982131,0.15541090,0.23481414,0.35273492,0.29893778,0.15885676,0.42978208,0.40517479,0.47998475,0.52642706,0.49892075,0.29030847,0.69208925,0.49360930
41,0.52121212,0.33672604,0.20210280,0.33589041,0.09555359,0.68066406,0.15232292,0.29546166,0.28000836,0.02888358,0.18120228,0.20677709,0.12473868,0.04583996,0.03394729,0.14375314,0.20836685,0.29058348,0.35053381,0.11378243,0.06815128,0.18564762,0.25039777,0.40032154,0.10305076,0.21266026,0.19508290,0.15815059
42,0.31970260,0.56958393,0.45110821,0.26342931,0.48981132,0.78579481,0.23501763,0.32551724,0.08344759,0.74389217,0.34220146,0.56702238,0.21501502,0.04188862,0.10629991,0.10387962,0.45279720,0.42162615,0.81069959,0.34512635,0.09971910,0.60229133,0.60038150,0.37067361,0.42646284,0.68863518,0.35059597,0.38512514
43,0.42364532,0.36556169,0.20281360,0.31910463,0.12519290,0.66698565,0.34995626,0.09885852,1.00000000,0.15247798,0.06454702,0.24622775,0.11703171,0.08890031,0.66778149,0.05816078,0.32054455,0.62953692,0.27079038,0.21956821,0.17308630,0.16090949,0.22603232,0.47248577,0.37367206,0.41313823,0.45614973,0.16382944
44,0.19111111,0.26187335,0.05720899,0.20625841,0.22868217,0.48335645,0.30674847,0.00000000,0.00000000,0.41069767,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15938462,0.24124700,0.05312837,0.68975469,0.07669043,0.00000000,0.12043237,0.15887701,0.00000000,0.00000000,0.54820051,0.00000000
45,0.42469136,0.28316690,0.44876783,0.18093270,0.45768688,0.53328233,0.40941658,0.06468412,0.33864441,0.10413964,0.06272568,0.13669448,0.18008048,0.04484770,0.01753154,0.33705882,0.29431818,0.07203208,0.43249177,0.06908513,0.11723910,0.37124842,0.62918541,0.60843005,0.45032007,0.72158782,0.12065064,0.38913086
46,0.48725212,0.56472262,0.46883469,0.38169365,0.38862275,0.46281541,0.25220681,0.08516013,0.34245524,0.09558346,0.17515593,0.63513120,0.18200305,0.05351067,0.06765304,0.36450382,0.32054455,0.60529483,0.22247318,0.34265233,0.08414316,0.33093525,0.61928185,0.46848542,0.40612450,0.32068632,0.75991091,0.68741387
47,0.50588235,0.18621013,0.35414534,0.41644022,0.33213920,0.37716450,0.18124150,0.15079872,0.15551684,0.10583723,0.00000000,0.38052402,0.04779706,0.03019988,0.00000000,0.20813658,0.55460385,0.12834907,0.24795469,0.11465579,0.45629820,0.31642304,1.00000000,0.84192730,0.46884961,0.38286209,0.35372175,0.00000000
48,0.57718121,0.36522539,0.52583587,0.32851018,0.34967672,0.16427056,0.26041667,0.17324280,0.00000000,0.12269001,0.56316845,0.16043746,0.19414317,0.01668193,0.00000000,0.04172128,0.21529510,0.69571231,0.60060976,0.73765432,0.11455308,0.22035928,0.47961905,0.80517381,0.28980835,0.25917969,0.14812885,0.25131198
