3.600000000000000089e+00,1.360999999999999943e+01,5.519999999999999574e+00,3.832999999999999829e+01,2.014999999999999858e+01,1.382000000000000028e+01,1.491000000000000014e+01,5.868999999999999773e+01,3.678000000000000114e+01,1.881999999999999886e+02,5.361399999999999864e+02,1.133799999999999955e+02,2.196000000000000085e+01,1.676000000000000156e+01,2.062999999999999901e+01,2.498000000000000043e+01,9.429999999999999716e+00,7.120000000000000107e+00,7.919999999999999929e+00,9.080000000000000071e+00,7.629999999999999893e+00,1.752800000000000011e+02,2.926999999999999957e+01,2.244999999999999929e+01,2.869000000000000128e+01,3.169999999999999929e+01,2.648000000000000043e+01,4.872800000000000296e+02
5.820000000000000284e+00,1.041999999999999993e+01,7.040000000000000036e+00,5.028000000000000114e+01,1.327999999999999936e+01,1.574000000000000021e+01,1.757000000000000028e+01,5.457000000000000028e+01,1.337700000000000102e+02,1.615099999999999909e+02,1.205799999999999983e+02,8.289000000000000057e+01,7.984000000000000341e+01,5.490999999999999659e+01,2.026999999999999602e+02,5.567000000000000171e+01,8.439999999999999503e+00,6.730000000000000426e+00,6.660000000000000142e+00,1.077999999999999936e+01,8.029999999999999361e+00,1.399799999999999898e+02,4.150000000000000000e+01,2.437000000000000099e+01,4.228999999999999915e+01,3.778000000000000114e+01,6.550000000000000000e+01,4.474299999999999500e+02
9.619999999999999218e+00,2.026000000000000156e+01,2.619000000000000128e+01,2.221999999999999886e+01,7.037999999999999545e+01,3.155000000000000071e+01,2.782000000000000028e+01,5.667999999999999972e+01,1.934000000000000057e+02,7.832999999999999829e+01,6.011800000000000637e+02,2.079199999999999875e+02,5.632999999999999829e+01,4.334999999999999432e+01,3.268999999999999773e+01,8.914000000000000057e+01,2.678000000000000114e+01,2.646999999999999886e+01,2.205000000000000071e+01,2.981000000000000227e+01,3.728000000000000114e+01,1.709099999999999966e+02,3.001000000000000156e+01,2.130000000000000071e+01,6.962000000000000455e+01,5.375999999999999801e+01,3.051999999999999957e+01,4.546800000000000068e+02
7.040000000000000036e+00,6.699999999999999289e+00,1.475999999999999979e+01,8.769999999999999574e+00,1.217999999999999972e+01,1.723999999999999844e+01,9.750000000000000000e+00,8.762999999999999545e+01,2.739999999999999858e+01,1.646999999999999886e+01,1.441299999999999955e+02,6.212999999999999545e+01,1.276999999999999957e+01,7.434999999999999432e+01,1.647199999999999989e+02,9.039000000000000057e+01,1.619000000000000128e+01,1.155000000000000071e+01,1.561999999999999922e+01,1.510999999999999943e+01,1.782999999999999829e+01,2.830999999999999872e+01,2.223000000000000043e+01,1.586999999999999922e+01,1.862999999999999901e+01,1.998000000000000043e+01,3.285000000000000142e+01,3.592599999999999909e+02
3.540000000000000036e+00,1.148000000000000043e+01,1.532000000000000028e+01,3.586999999999999744e+01,1.701999999999999957e+01,1.391999999999999993e+01,1.339000000000000057e+01,1.614099999999999966e+02,4.150000000000000000e+01,1.145900000000000034e+02,2.283100000000000023e+02,1.118499999999999943e+02,7.701000000000000512e+01,3.864999999999999858e+01,7.157999999999999829e+01,7.189000000000000057e+01,1.676999999999999957e+01,2.403000000000000114e+01,1.907000000000000028e+01,5.596999999999999886e+01,9.019999999999999574e+00,6.121000000000000085e+01,3.060000000000000142e+01,1.992000000000000171e+01,3.840999999999999659e+01,4.215999999999999659e+01,5.777000000000000313e+01,2.522800000000000011e+02
6.919999999999999929e+00,1.143999999999999950e+01,1.107000000000000028e+01,1.742999999999999972e+01,1.525999999999999979e+01,1.651999999999999957e+01,1.503999999999999915e+01,2.255699999999999932e+02,1.000799999999999983e+02,9.628000000000000114e+01,7.951999999999999602e+01,5.281000000000000227e+01,2.855999999999999872e+01,3.828999999999999915e+01,2.785999999999999943e+01,3.956000000000000227e+01,7.669999999999999929e+00,3.321999999999999886e+01,8.109999999999999432e+00,9.342999999999999261e+01,6.882999999999999829e+01,2.601500000000000341e+02,5.280000000000000426e+01,3.201999999999999602e+01,7.148000000000000398e+01,3.934000000000000341e+01,7.973999999999999488e+01,3.456299999999999955e+02
2.680000000000000160e+00,8.019999999999999574e+00,1.901000000000000156e+01,1.837000000000000099e+01,7.510999999999999943e+01,2.048999999999999844e+01,1.089000000000000057e+01,1.110500000000000114e+02,5.915999999999999659e+01,5.325999999999999801e+01,4.155800000000000409e+02,1.447199999999999989e+02,1.446000000000000085e+01,2.937000000000000099e+01,1.556600000000000250e+02,5.179999999999999716e+01,1.000000000000000000e+01,7.190000000000000391e+00,6.250000000000000000e+00,1.996999999999999886e+01,1.053999999999999915e+01,5.770000000000000284e+01,3.821999999999999886e+01,2.323999999999999844e+01,5.348000000000000398e+01,3.484000000000000341e+01,5.450000000000000000e+01,1.289900000000000091e+02
4.740000000000000213e+00,1.132000000000000028e+01,5.589999999999999858e+00,1.205000000000000071e+01,4.225999999999999801e+01,1.458000000000000007e+01,2.487000000000000099e+01,5.145000000000000284e+01,3.117999999999999972e+01,6.487999999999999545e+01,3.276100000000000136e+02,7.232999999999999829e+01,2.414999999999999858e+01,2.794000000000000128e+01,1.980199999999999818e+02,8.427000000000001023e+01,9.669999999999999929e+00,9.934000000000000341e+01,1.058000000000000007e+01,2.091000000000000014e+01,3.749000000000000199e+01,5.413000000000000256e+01,3.363000000000000256e+01,4.307000000000000028e+01,6.531000000000000227e+01,6.456999999999999318e+01,9.062999999999999545e+01,7.568000000000000682e+01
2.600000000000000089e+00,6.950000000000000178e+00,7.639999999999999680e+00,2.266000000000000014e+01,1.607000000000000028e+01,2.023000000000000043e+01,2.385999999999999943e+01,1.048799999999999955e+02,1.398499999999999943e+02,1.078900000000000006e+02,1.156200000000000045e+02,1.412199999999999989e+02,1.707500000000000000e+02,6.290999999999999659e+01,6.635999999999999943e+01,6.557999999999999829e+01,9.480000000000000426e+00,7.620000000000000107e+00,6.517000000000000171e+01,1.975000000000000000e+01,8.569999999999998863e+01,4.706000000000000227e+01,5.171000000000000085e+01,2.092000000000000171e+01,5.036999999999999744e+01,5.282000000000000028e+01,4.053000000000000114e+01,3.537000000000000455e+02
3.819999999999999840e+00,1.236999999999999922e+01,3.979999999999999982e+00,1.183000000000000007e+01,1.780000000000000071e+01,1.814000000000000057e+01,1.077999999999999936e+01,6.948000000000000398e+01,3.121999999999999886e+01,5.861999999999999744e+01,2.466399999999999864e+02,1.913499999999999943e+02,2.239000000000000057e+01,9.192000000000000171e+01,3.021999999999999886e+02,3.686999999999999744e+01,1.102999999999999936e+01,1.425999999999999979e+01,1.317999999999999972e+01,3.008999999999999986e+01,8.259999999999999787e+00,3.632999999999999829e+01,2.623000000000000043e+01,1.892000000000000171e+01,3.242999999999999972e+01,4.571000000000000085e+01,2.464999999999999858e+01,1.212699999999999960e+02
